year,state,headingCode,heading,metricFOB
2023,Paraná,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",335832051
2023,São Paulo,8408,"Motores de pistão, de ignição por compressão (motores diesel ou semi-diesel)",332616784
2023,Paraná,8708,Partes e acessórios dos veículos automóveis das posições 8701 a 8705,332099101
2023,Rio Grande do Norte,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",332083295
2023,Não Declarada,1201,"Soja, mesmo triturada",331215353
2023,São Paulo,8414,"Bombas de ar ou de vácuo, compressores de ar ou de outros gases e ventiladores; exaustores (coifas aspirantes) para extracção ou reciclagem, com ventilador incorporado, mesmo filtrantes",330377272
2023,Paraná,8701,Tractores (exceto os da posição 8709),329993917
2023,Bahia,4702,"Pasta química de madeira, para dissolução",326624771
2023,Mato Grosso do Sul,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",326602224
2023,Minas Gerais,7901,Zinco em formas brutas,312699778
2023,Santa Catarina,4407,"Madeira serrada ou endireitada longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm",311299909
2023,Paraná,2101,"Extractos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate; chicória torrada e outros sucedâneos torrados do café e respectivos extractos, essências e concentrados",310930431
2023,São Paulo,2713,"Coque de petróleo, betume de petróleo e outros resíduos dos óleos de petróleo ou de minerais betuminosos",310338046
2023,Espírito Santo,7224,"Outras ligas de aço, em lingotes ou outras formas primárias; produtos semimanufacturados, de outras ligas de aço",303779173
2023,Rio de Janeiro,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",303577517
2023,Pernambuco,1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido",297629720
2023,Santa Catarina,4418,"Obras de carpintaria para construções, incluídos os painéis celulares, os painéis para soalhos e as fasquias para telhados (shingles e shakes), de madeira",293467151
2023,São Paulo,7606,"Chapas e tiras, de alumínio, de espessura superior a 0,2 mm",289203397
2023,Paraná,4810,"Papel e cartão revestidos de caulino ou de outras substâncias inorgânicas numa ou nas duas faces, com ou sem aglutinantes, sem qualquer outro revestimento, mesmo coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma q",284005840
2023,São Paulo,9306,"Bombas, granadas, torpedos, minas, mísseis, cartuchos e outras munições e projécteis, e suas partes, incluídos os zagalotes, chumbos de caça e buchas para cartuchos",283240660
2023,São Paulo,8433,"Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluídas as enfardadeiras de palha ou forragem; cortadores de relva e ceifeiras; máquinas para limpar e seleccionar ovos, frutas ou outros produtos agrícolas, exceto as da posição 8437",278756964
2023,Rio Grande do Sul,2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",277884750
2023,Paraná,4409,"Madeira (incluídos os tacos e frisos para soalhos, não montados) perfilada (com espigas, ranhuras, filetes, entalhes, chanfrada, com juntas em V, com cercadura, boleada ou semelhantes) ao longo de uma ou mais bordas, faces ou extremidades, mesmo aplainada",276162212
2023,Rio Grande do Sul,8701,Tractores (exceto os da posição 8709),274045622
2023,São Paulo,2101,"Extractos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate; chicória torrada e outros sucedâneos torrados do café e respectivos extractos, essências e concentrados",270638383
2023,São Paulo,8413,"Bombas para líquidos, mesmo com dispositivo medidor; elevadores de líquidos",268805115
2023,Minas Gerais,2616,Minérios de metais preciosos e seus concentrados,268193699
2023,Rio de Janeiro,8481,"Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes",267933059
2023,Rio de Janeiro,4011,"Pneumáticos novos, de borracha",265874944
2023,Mato Grosso do Sul,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",265801159
2023,Piauí,1005,Milho,265279843
2023,São Paulo,8544,"Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados para usos elétricos (incluídos os envernizados ou oxidados anodicamente), mesmo com peças de conexão; cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mes",263215580
2023,Minas Gerais,7207,Produtos semimanufacturados de ferro ou aço não ligado,251756507
2023,Rio Grande do Sul,6403,"Calçado com sola exterior de borracha, plástico, couro natural ou reconstituído e parte superior de couro natural",248298592
2023,Bahia,2604,Minérios de niquel e seus concentrados,244254325
2023,São Paulo,8504,"Transformadores elétricos, conversores elétricos estáticos (rectificadores, por exemplo), bobinas de reactância e de auto-indução",243902889
2023,Minas Gerais,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",243243522
2023,São Paulo,5201,"Algodão, não cardado nem penteado",242677692
2023,Rio Grande do Sul,8421,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases",242053056
2023,Santa Catarina,9403,Outros móveis e suas partes,241805339
2023,Minas Gerais,1005,Milho,241645755
2023,Goiás,7108,"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó",241101604
2023,Minas Gerais,2304,Tortas e outros resíduos sólidos da extração do óleo de soja,240863349
2023,São Paulo,8502,"Grupos electrogéneos e conversores rotativos, elétricos",240553180
2023,Mato Grosso do Sul,0201,"Carnes de animais da espécie bovina, frescas ou refrigeradas",240307400
2023,São Paulo,2922,Compostos aminados de funções oxigenadas,240042926
2023,Bahia,7202,Ferro-ligas,236759936
2023,Minas Gerais,7208,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, laminados a quente, não folheados ou chapeados, nem revestidos",236734507
2023,São Paulo,8424,"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh",234280050
2023,Rio Grande do Sul,9303,"Outras armas de fogo e aparelhos semelhantes que utilizem a deflagração da pólvora (por exemplo: espingardas e carabinas de caça, armas de fogo carregáveis exclusivamente pela boca, pistolas lança-foguetes e outros aparelhos concebidos apenas para lançar ",231052538
2023,Pará,0102,Animais vivos da espécie bovina,230179978
2023,São Paulo,8421,"Centrifugadores, incluídos os secadores centrífugos, aparelhos para filtrar ou depurar líquidos ou gases",227605744
2023,Santa Catarina,1602,"Outras preparações e conservas de carne, miudezas ou sangue",225858486
2023,Maranhão,7108,"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó",225479994
2023,Mato Grosso,0201,"Carnes de animais da espécie bovina, frescas ou refrigeradas",223355308
2023,São Paulo,8001,Estanho em formas brutas,222798744
2023,Goiás,1507,"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados",221026138
2023,Alagoas,2603,Minérios de cobre e seus concentrados,217856958
2023,Mato Grosso,0207,"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105",217396159
2023,Paraná,4811,"Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou rectangular, de qualquer formato ou dimen",217339972
2023,São Paulo,3504,Peptonas e seus derivados; outras matérias protéicas e seus derivados; pó de peles,215619852
2023,Santa Catarina,4412,"Madeira contraplacada ou compensada, madeira folheada, e madeiras estratificadas semelhantes",213167588
2023,Minas Gerais,8112,"Berílio, crómio, germânio, vanádio, gálio, háfnio (céltio), índio, nióbio (colômbio), rénio e tálio, e suas obras, incluídos os desperdícios, resíduos e sucata",211588528
2023,Rio Grande do Sul,6402,Outro calçado com sola exterior e parte superior de borracha ou plástico,210372272
2023,Santa Catarina,0210,"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas",202526980
2023,São Paulo,8481,"Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes",199527210
2023,Rio Grande do Sul,9403,Outros móveis e suas partes,198841510
2023,São Paulo,2106,Preparações alimentícias não especificadas nem compreendidas noutras posições,195599054
2023,Ceará,7224,"Outras ligas de aço, em lingotes ou outras formas primárias; produtos semimanufacturados, de outras ligas de aço",195574483
2023,Rio Grande do Sul,8433,"Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluídas as enfardadeiras de palha ou forragem; cortadores de relva e ceifeiras; máquinas para limpar e seleccionar ovos, frutas ou outros produtos agrícolas, exceto as da posição 8437",193309226
2023,Minas Gerais,3004,"Medicamentos (exceto os produtos das posições 3002, 3005 ou 3006) constituídos por produtos misturados ou não misturados, preparados para fins terapêuticos ou profilácticos, apresentados em doses (incluindo os destinados a serem administrados por via sub",192143121
2023,Amazonas,2106,Preparações alimentícias não especificadas nem compreendidas noutras posições,192133416
2023,Minas Gerais,8407,"Motores de pistão, alternativo ou rotativo, de ignição por faísca (motores de explosão)",190095692
2023,Santa Catarina,8414,"Bombas de ar ou de vácuo, compressores de ar ou de outros gases e ventiladores; exaustores (coifas aspirantes) para extracção ou reciclagem, com ventilador incorporado, mesmo filtrantes",189301141
2023,São Paulo,4811,"Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou rectangular, de qualquer formato ou dimen",189254985
2023,Minas Gerais,8409,Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408,186637751
2023,Rio Grande do Norte,0807,"Melões, melancias e papaias (mamões), frescos",186430408
2023,Santa Catarina,4804,"Papel e cartão kraft, não revestidos, em rolos ou em folhas, exceto das posições 4802 e 4803",185438423
2023,São Paulo,2309,Preparações dos tipos utilizados na alimentação de animais,184627335
2023,Rio Grande do Sul,8707,"Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas",184299552
2023,Bahia,2603,Minérios de cobre e seus concentrados,182722605
2023,Rio Grande do Sul,8703,"Automóveis de passageiros e outros veículos automóveis principalmente concebidos para o transporte de pessoas (exceto os da posição 8702), incluídos os veículos de uso misto (station wagons) e os automóveis de corrida",181180761
2023,Bahia,4011,"Pneumáticos novos, de borracha",181001815
2023,Rondônia,1005,Milho,179937550
2023,Rio de Janeiro,8704,Veículos automóveis para transporte de mercadorias,179342636
2023,São Paulo,1508,"Óleo de amendoim e respectivas fracções, mesmo refinados, mas não quimicamente modificados",177884605
2023,Rio Grande do Sul,1602,"Outras preparações e conservas de carne, miudezas ou sangue",177733800
2023,Minas Gerais,7210,"Produtos laminados planos de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, ou revestidos",177458221
2023,Rio de Janeiro,7210,"Produtos laminados planos de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, ou revestidos",176984048
2023,Paraná,4407,"Madeira serrada ou endireitada longitudinalmente, cortada ou desenrolada, mesmo aplainada, polida ou unida pelas extremidades, de espessura superior a 6 mm",176297708
2023,São Paulo,7214,"Barras de ferro ou aço não ligado, simplesmente forjadas, laminadas, estiradas ou extrudadas, a quente, incluídas as que tenham sido submetidas a torção após laminagem",174016124
2023,Pará,7201,"Ferro fundido bruto e ferro spiegel (especular), em lingotes, linguados ou outras formas primárias",170191810
2023,São Paulo,8474,"Máquinas e aparelhos, para seleccionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluídos os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólid",169537977
2023,São Paulo,6907,"Ladrilhos e placas (lajes), para pavimentação ou revestimento, não vidrados nem esmaltados, de cerâmica; cubos, pastilhas e artigos semelhantes, para mosaicos, não vidrados nem esmaltados, de cerâmica, mesmo com suporte",167891867
2023,Espírito Santo,0904,"Pimenta (do género Piper); pimentos dos géneros Capsicum ou Pimenta, secos ou triturados ou em pó",167789934
2023,São Paulo,8517,"Aparelhos elétricos para telefonia ou telegrafia por fios, incluídos os aparelhos telefónicos por fio combinados com auscultadores sem fio e os aparelhos de telecomunicação por corrente portadora ou de telecomunicação digital; videofones",166793896
